Species number,Scientific name,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Section,Subsection,Superfamily,Above family,Family,Subfamily,Tribe,Supergenus,Genus,Subgenus,Species,Subspecies,Synonyms,Scientific name author,Habitat-Biology,Overall geographic range,Min depth (m),Max depth (m),Polygon,Source,References,Endnotes,Author,Year,Changes from the book,URL
Spp-61-0031,Thalassironus britannicus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Ironina,,,,Ironoidea,,Ironidae,Thalassironinae,,,Thalassironus,,britannicus,,,"De Man,",sediments; submergent vegetation,"eastern North Atlantic, Atlantic coast of Africa, Gulf of Mexico",0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",37,,De Man,1889,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0031
Spp-61-0032,Thalassironus lynnae,Animalia,Nematoda,,Enoplea,,,,Enoplida,Ironina,,,,Ironoidea,,Ironidae,Thalassironinae,,,Thalassironus,,lynnae,,,"Keppner,",sediments; submergent vegetation; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",37,,Keppner,1987,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0032
Spp-61-0033,Thalassironus thalassinus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Ironina,,,,Ironoidea,,Ironidae,Thalassironinae,,,Thalassironus,,thalassinus,,,"Keppner,",sediments; submergent vegetation; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",41,,Keppner,1991,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0033
Spp-61-0034,Trissonchulus benepapillosus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Ironina,,,,Ironoidea,,Ironidae,Thalassironinae,,,Trissonchulus,,benepapillosus,,,"Schulz,",sand,cosmopolitan,0,0,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",22,,Schulz,1935,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0034
Spp-61-0035,Trissonchulus reversus,Animalia,Nematoda,,Enoplea,,,,Enoplida,Ironina,,,,Ironoidea,,Ironidae,Thalassironinae,,,Trissonchulus,,reversus,,,"Chitwood,",sediments; submergent vegetation; associated with macrofauna,coastal North Carolina to Gulf of Mexico,0,2,G1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,,Chitwood,1951,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0035
Spp-61-0036,Calyptronema pulchrum,Animalia,Nematoda,,Enoplea,,,,Enoplida,Oncholaimina,,,,Oncholaimoidea,,Enchelidiidae,Enchelidiinae,,,Calyptronema,,pulchrum,,,"Jensen,",rocky substrate; sand; endemic to Gulf of Mexico,Gulf of Mexico,51,200,G2; G3,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",31,,Jensen,1986,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0036
Spp-61-0037,Ditlevsenella filipjevi,Animalia,Nematoda,,Enoplea,,,,Enoplida,Oncholaimina,,,,Oncholaimoidea,,Enchelidiidae,Enchelidiinae,,,Ditlevsenella,,filipjevi,,,"Hopper,",sand; endemic to Gulf of Mexico,Gulf of Mexico,0,2,A1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",24,,Hopper,1963,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0037
Spp-61-0038,Eurystomina americana,Animalia,Nematoda,,Enoplea,,,,Enoplida,Oncholaimina,,,,Oncholaimoidea,,Enchelidiidae,Enchelidiinae,,,Eurystomina,,americana,,,"Chitwood,",sand and mud,Chesapeake Bay to Gulf of Mexico,0,0,B1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",66,,Chitwood,1936,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0038
Spp-61-0039,Eurystomina chitwoodi,Animalia,Nematoda,,Enoplea,,,,Enoplida,Oncholaimina,,,,Oncholaimoidea,,Enchelidiidae,Enchelidiinae,,,Eurystomina,,chitwoodi,,,"Inglis,",associated with macrofauna; endemic to Gulf of Mexico,Gulf of Mexico,0,2,B1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,,Inglis,1962,"Added keyword ""endemic to Gulf of Mexico""",http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0039
Spp-61-0040,Eurystomina minutisculae,Animalia,Nematoda,,Enoplea,,,,Enoplida,Oncholaimina,,,,Oncholaimoidea,,Enchelidiidae,Enchelidiinae,,,Eurystomina,,minutisculae,,,"Chitwood,",sediments; associated with macrofauna,"coastal North Carolina to Gulf of Mexico, coastal El Salvador",0,2,G1,"Hope, W. D. 2009. Free-Living Marine Nematoda of the Gulf of Mexico, Pp. 1111–1123 in Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico–Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.",8,,Chitwood,1951,,http://gulfbase.org/biogomx/biospecies.php?species=Spp-61-0040
